枚数,カード名,種別,タイプ,HP,ID
4,ドラメシヤ,ポケモン/たね,竜,70,119
3,マシマシラ,ポケモン/たね,超,110,112
2,ヨマワル,ポケモン/たね,超,60,131
1,サマヨール,ポケモン/1進化,超,90,132
1,ドロンチ,ポケモン/1進化,竜,90,120
3,ドラパルトex,ポケモン/2進化,竜,320,121
1,ヨノワール,ポケモン/2進化,超,160,133
4,なかよしポフィン,グッズ,,,1086
4,ハイパーボール,グッズ,,,1121
3,ふしぎなアメ,グッズ,,,1079
3,ポケギア3.0,グッズ,,,1122
3,夜のタンカ,グッズ,,,1097
2,ポケパッド,グッズ,,,1152
2,ポケモンいれかえ,グッズ,,,1123
1,プライムキャッチャー,グッズ,,,1088
4,トウコ,サポート,,,1225
3,ボスの指令,サポート,,,1182
3,リーリエの決心,サポート,,,1227
2,危険な密林,スタジアム,,,1243
6,基本【超】エネルギー,基本エネルギー,超,,5
3,基本【炎】エネルギー,基本エネルギー,炎,,2
2,基本【悪】エネルギー,基本エネルギー,悪,,7
